a.	ad, adına
TYMB	Türkiye Yüksek Mühendisler Birliği
TYS	Türkiye Yazarlar Sendikası
UEFA	Union of European Football Associations (Avrupa Futbol Federasyonları Birliği)
UFO	Unidentified Flying Object (Tanımlanmamış Uçan Nesne)
UHF	Ultra High Frequency (Yüksek Frekans)
ui.	uluslararası ilişkiler (Siyasetbilimi yazınında uluslararası ilişkiler için kullanılan kısaltma)
UK	United Kingdom (Birleşik Krallık)
um:ag	Uğur Mumcu Araştırmacı Gazetecilik Vakfı
UN	United Nations (Birleşmiş Milletler)
UNCTAD	UN Conference on Trade and Development (BM Ticaret ve Kalkınma Konferansı)
UNDCP	UN International Drug Control Programme (BM Uluslararası Uyuşturucu Kontrol Programı)
UNDP	UN Development Programme (BM Kalkınma Programı)
UNEO	UN Emergency Operations (BM İvedi İşler)
UNEP	UN Environment Programme (BM Çevre Programı)
UNESCO	United Nations Educational, Scientific and Cultural Organization (Birleşmiş Milletler Eğitim, Bilim ve Kültür Örgütü)
UNFPA	UN Population Fund (BM Nüfus Fonu)
UNHCR	Office of the UN High Commissioner for Refugees (BM Mülteciler Yüksek Komiserliği)
UNIC	UN Information Centre (BM Enformasyon Merkezi)
UNICEF	United Nations International Children’s Emergency Fund (Birleşmiş Milletler Uluslararası Çocuklara Acil Yardım Fonu)
UNIDO	UN Industrial Development Organisation (BM Sınai Kalkınma Örgütü)
UNITAR	UN Institute for Training and Research (BM Eğitim ve Araştırma Enstitüsü)
UNRISO	UN Research Institute for Social Development (BM Sosyal Kalkınma Araştırmaları Enstitüsü)
UP	United Press (Amerikan Haberler Ajansı)
UPI	United Press International (Uluslararası Basın birliği)
UPU	Union Postale Universelle (Uluslararası Posta Birliği)
US	United States (Birleşik Devletler)
USA	(1) United States of Amerika (Amerika Birleşik Devletleri), (2) United States Army (Birleşik Devletler Ordusu)
USIS	United States Information Service (Amerikan Haberler Merkezi)
UÜ	Uludağ Üniversitesi
UV	Ultraviolet (Morötesi)
Uz. J.	Uzatmalı Jandarma
Uzm.	Uzman
Üçvş.	Üstçavuş
ÜDS	Üniversitelerarası Kurul Yabancı Dil Sınavı
Üni.	Üniversitesi
ÜT	Üretim tarihi
Ütğm.	Üsteğmen, Üsteğmenlik
vb.	ve benzeri, ve bunun gibi, ve başkaları
VCD	Video Compact Disc
VDMK	Varlığa Dayalı Menkul Kıymetler
Vet.	Veteriner
VHF	Very  High Frequency (Çok Yüksek Frekans)
VIP	Very Important Person (Çok Önemli Kişi)
VJ	Video jockey
vö.	ve öbürleri, ve ötesi
vs.	vesaire
WAP	Wireless Application Protocol (Kablosuz Uygulama Protokolu, internet sistemine kablosuz erişim)
WB	World Bank (Dünya Bankası)
WB	World Bank (Dünya Bankası)
WC	Water Closet (Tuvalet, ayakyolu)
WHO	World Health Organization (Dünya Sağlık Örgütü)
WMO	World Meteorological Organization (Uluslararası Meteoroloji Örgütü)
WTO	World Trade Organization (Dünya Ticaret Örgütü)
WWF	World Wildlife Fund (Dünya Doğal Yaşamı Koruma Fonu)
Y. Müh.	Yüksek Mühendis
Yard.	Yardımcı
Yard. Doç.	Yardımcı Doçent
YAŞ	Yüksek Askeri Şûra
Yay.	(1) Yayınları, (2)Yayımlayan, (3)Yayınevi
yay. haz.	yayıma hazırlayan
Yay-Kur	Yaygın Yükseköğretim Kurumu
Yd.	Yedek
Yd. Sb.	Yedek Subay
YDK	Yüksek Denetleme Kurulu
YDS	Yabancı Dil Sınavı
YÖK	Yükseköğretim Kurulu
YGS	Yükseköğretime Geçiş Sınavı
YÖS	Yabancı Uyruklu Öğrenci Sınavı
YPK	Yüksek Planlama Kurulu
Yrb.	Yarbay
YSE	Yol, Su, Elektrik Genel Müdürlüğü
YTÜ	Yıldız Teknik Üniversitesi
Yun.	Yunanca
YURTKUR	Yükseköğrenim Kredi ve Yurtlar Kurumu
yy.	yüzyıl
Yzb.	Yüzbaşı
ZF	Ziraat Fakültesi
00	Tuvalet
